date,symbol,entry_ts,exit_ts,entry_px,exit_px,shares,position_usd,pnl,ret_pct,equity_after,rvol
2021-07-20,NURO,2021-07-20 15:19:44,2021-07-20 19:50:00,42.8532,83.7102,1.2697,54.41,50.87,95.3418,1210.59,2.22
2021-07-22,IPA,2021-07-22 14:37:14,2021-07-22 19:50:00,9.1164,13.4264,6.6396,60.53,27.62,47.2776,1237.2,1.6
2021-07-26,PRFX,2021-07-26 14:13:19,2021-07-26 19:50:00,4667.0994,4009.95,0.0133,61.86,-9.71,-14.0805,1226.49,7.06
2021-08-10,SCPE,2021-08-10 15:56:38,2021-08-10 19:50:00,11.8992,14.4214,5.1537,61.32,12.0,21.196,1237.49,1.37
2021-08-12,FRLN,2021-08-12 14:54:03,2021-08-12 19:50:00,57.1342,58.3538,1.083,61.87,0.32,2.1344,1236.81,1.34
2021-08-13,SESN,2021-08-13 15:47:21,2021-08-13 19:50:00,119.394,41.895,0.518,61.84,-41.14,-64.9103,1193.67,1.1
2021-08-13,GRNVU,2021-08-13 15:49:24,2021-08-13 19:50:00,17.6378,18.1645,3.5033,61.79,0.85,2.9864,1194.52,40.41
2021-08-17,VRPX,2021-08-17 13:42:53,2021-08-17 19:50:00,2077.335,3678.2563,0.0288,59.73,45.03,77.0661,1238.55,7.14
2021-08-26,TSRI,2021-08-26 15:59:32,2021-08-26 19:50:00,10.261,10.0349,6.0352,61.93,-2.37,-2.2045,1235.18,3.04
2021-08-27,SPRT,2021-08-27 15:19:39,2021-08-27 19:50:00,40.8619,30.2542,1.5114,61.76,-17.03,-25.9599,1217.15,2.26
2021-09-07,NMTC,2021-09-07 14:21:33,2021-09-07 19:50:00,35.6976,31.5404,1.7048,60.86,-8.09,-11.6457,1207.06,14.97
2021-09-07,NMTC,2021-09-07 14:34:18,2021-09-07 19:50:00,37.714,31.5404,1.6123,60.81,-10.95,-16.3697,1196.11,1.94
2021-09-13,TMC,2021-09-13 14:00:30,2021-09-13 19:50:00,9.8491,12.349,6.0722,59.81,14.18,25.3815,1209.29,2.34
2021-09-15,INDP,2021-09-15 13:49:13,2021-09-15 19:50:00,408.5956,303.0405,0.148,60.46,-16.62,-25.8336,1191.67,1.59
2021-09-23,RHE,2021-09-23 15:36:01,2021-09-23 19:50:00,8.9847,10.2144,6.6316,59.58,7.15,13.6866,1197.82,2.82
2021-09-29,CEI,2021-09-29 15:27:59,2021-09-29 19:50:00,190.0103,169.0713,0.3152,59.89,-7.6,-11.02,1189.22,1.38
2021-10-26,BIMI,2021-10-26 14:07:27,2021-10-26 19:50:00,34.2253,103.74,1.7373,59.46,119.77,203.1093,1307.99,1.48
2021-10-29,BTBT,2021-10-29 15:55:17,2021-10-29 19:50:00,10.3001,9.7955,6.3494,65.4,-4.2,-4.8999,1302.79,1.27
2021-11-18,LGVN,2021-11-18 14:42:42,2021-11-18 20:50:00,45.426,71.8699,1.434,65.14,36.92,58.2131,1338.71,2.08
2021-11-24,LGVN,2021-11-24 15:40:53,2021-11-24 20:50:00,261.301,417.6533,0.2562,66.94,39.05,59.8361,1376.76,1.19
2021-12-06,IMPP,2021-12-06 15:15:40,2021-12-06 20:50:00,47.1848,95.7555,1.4589,68.84,69.86,102.9374,1445.62,3.94
2021-12-13,SEAC,2021-12-13 14:41:30,2021-12-13 20:50:00,15.7785,32.1195,4.581,72.28,73.86,103.565,1518.48,1.97
2021-12-21,ALLR,2021-12-21 14:53:15,2021-12-21 20:50:00,14832594.0,8797950.0,0.0,75.92,-31.89,-40.685,1484.59,6.9
2021-12-21,ISPC,2021-12-21 15:15:45,2021-12-21 20:50:00,221.1,282.093,0.3432,75.87,19.93,27.5862,1504.52,1.11
2021-12-22,ENSC,2021-12-22 15:06:05,2021-12-22 20:50:00,11324.34,18673.2,0.0066,75.23,47.82,64.8944,1549.33,1.18
